 sex row_number liters_drunk age drink check_number label
0 Ж  -2 77 Bugbeer 9774 1
8127 M 49.0 1 32 Beerbeer 5514 0
8128 ж 100.0 1 46 Fanta 7466 1
8129 - 10.0 5 75 Water 3038 0
8130 м 83.0 0 46 Beerbeer 7285 1
8131 ж 68.0 0 71 Cola 8160 1
8132 M 43.0 4 66 Beerbeer 3101 0
8133 "Не указан" 70.0 -1 57 Beerbeer 369 0
8134 M 27.0 3 14 Water 3752 0
8135 Ж 35.0 3 57 Cola 990 1
8136 Ж 55.0 3 72 Water 5911 1
8137 - 27.0 3 43 Beerbeer 2582 0
8138 м 31.0 2 58 Fanta 5848 0
8139 "Не указан" 67.0 1 54 Fanta 4038 0
8140 м 39.0 4 12 Fanta 9090 1
8141 - 11.0 3 76 Cola 9012 1
8142 м 59.0 3 29 Bugbeer 3662 1
8143 M 14.0 0 57 Beerbeer 1153 1
8144 M 32.0 5 71 "Strong beer" 8753 1
8145 M 89.0 4 73 Cola 8979 0
8146 м 70.0 3 54 "Strong beer" 9927 1
8147 Ж 33.0 3 77 "Strong beer" 3946 0
8148 - 14.0 5 29 Fanta 230 1
8149 Ж 26.0 5 59 Fanta 1611 0
8150 "Не указан" 31.0 0 63 Water 9191 1
8151 M 63.0 2 50 Beerbeer 8778 0
8152 м 90.0 3 40 Cola 7725 0
8153 M 9.0 5 13 Fanta 6844 1
8154 M 62.0 2 33 "Strong beer" 2890 0
8155 Ж 94.0 3 32 "Strong beer" 1164 1
8156 - 41.0 0 72 Beerbeer 4077 1
8157 ж 16.0 0 80 "Strong beer" 4488 1
8158 ж 50.0 4 78 Fanta 105 1
8159 M 87.0 3 45 Beerbeer 4779 1
8160 м 86.0 1 11 Cola 3537 0
8161 - 1.0 2 26 Bugbeer 3294 1
8162 - 33.0 4 21 Water 6809 0
8163 ж 21.0 2 43 Cola 344 0
8164 - 40.0 1 74 Bugbeer 3728 0
8165 "Не указан" 37.0 2 76 Cola 7106 1
8166 "Не указан"  5 58 Water 5165 0
8167 Ж 53.0 16021397 58 "Strong beer" 8422 1
8168 ж 39.0 3 66 Cola 462 0
8169 Ж 83.0 4 16 Water 7071 0
8170 Ж 50.0 1 42 Water 7079 0
8171 M 90.0 3 50 "Strong beer" 7521 1
8172 м 91.0 3 48 Beerbeer 2670 0
8173 ж 43.0 19505192 66 Water 2536 1
8174 ж 54.0 5 61 Cola 3124 0
8175 "Не указан" 86.0 5 31 Bugbeer 5896 1
8176 ж 61.0 4 59 Bugbeer 5516 1
8177 Ж 8.0 3 67 "Strong beer" 1811 1
8178 M 23.0 5 26 Fanta 6374 1
8179 "Не указан" 19.0 3 69 Fanta 1594 1
8180 "Не указан" 64.0 3 46 Water 6278 0
8181 "Не указан" 66.0 5 71 Bugbeer 5171 1
8182 M 73.0 -6 28 Beerbeer 1966 0
8183 "Не указан" 76.0 2 39 Fanta 29 0
8184 ж 91.0 4 54 Bugbeer 6636 0
8185 Ж 41.0 5 45 Beerbeer 9690 1
8186 ж 57.0 1 55 Fanta 3912 0
8187 м 5.0 5 62 Fanta 991 0
8188 "Не указан" 5.0 0 11 Water 6008 0
8189 M 57.0 2 40 Fanta 5627 0
8190 ж 49.0 1 47 "Strong beer" 1203 1
8191 Ж 95.0 2 14 Water 1776 0
8192 "Не указан" 31.0 1 27 "Strong beer" 7490 0
8193 м  5 48 Beerbeer 6551 1
8194 Ж 26.0 2 77 Beerbeer 19 1
8195 Ж 34.0 1 58 Cola 1891 1
8196 M 4.0 2 39 Fanta 4793 0
8197 ж 33.0 5 56 Water 9706 1
8198 "Не указан" 68.0 4 63 Water 8585 0
8199 M 2.0 3 51 Beerbeer 3576 1
8200 ж 59.0 5 51 Fanta 7536 0
8201 M 0.0 0 72 Water 6583 0
8202 ж 88.0 5 15 Cola 9642 1
8203 Ж 61.0 4 25 Cola 9767 1
8204 "Не указан" 83.0 58316395 48 "Strong beer" 1505 1
8205 ж 97.0 0 36 Cola 7217 1
8206 - 52.0 2 17 Fanta 9952 1
8207 - 29.0 5 36 Beerbeer 373 1
8208 ж  5 20 Fanta 7090 0
8209 M 69.0 5 66 Water 1882 0
8210 - 39.0 5 26 "Strong beer" 5579 1
8211 M 3.0 1 70 Cola 4262 1
8212 M 86.0 3 21 Cola 1511 1
8213 - 33.0 2 75 Beerbeer 6266 1
8214 м 57.0 2 52 Bugbeer 3730 0
8215 ж 93.0 3 58 Cola 7603 1
8216 ж 2.0 5 19 Cola 9451 1
8217 - 84.0 5 10 Cola 6490 1
8218 - 93.0 3 46 Beerbeer 9196 0
8219 M 13.0 -5 72 "Strong beer" 6336 1
8220 ж 24.0 0 10 Fanta 1478 1
8221 -  1 50 Fanta 5901 0
8222 M 4.0 4 64 Bugbeer 8226 0
8223 "Не указан" 22.0 4 11 Cola 8493 1
8224 м 66.0 1 68 Beerbeer 3147 1
8225 - 82.0 1 44 Cola 1154 1
8226 м 63.0 4 13 Water 7874 1
8227 "Не указан" 78.0 1 78 Cola 2320 0
8228 м 43.0 2 73 Bugbeer 7849 0
8229 м  3 79 Fanta 8873 1
8230 м 89.0 4 78 Fanta 3178 0
8231 "Не указан" 59.0 5 60 Fanta 8681 0
8232 - 25.0 2 23 "Strong beer" 292 0
8233 ж 14.0 3 19 Cola 9112 0
8234 Ж 74.0 3 35 Cola 8721 1
8235 "Не указан" 95.0 4 31 Water 7178 1
8236 - 67.0 3 30 Water 6728 0
8237 ж 2.0 0 58 Fanta 3457 1
8238 м 49.0 5 38 "Strong beer" 7828 1
8239 -  0 11 Water 1474 1
8240 м 38.0 0 55 Bugbeer 4128 1
8241 м 8.0 4 69 Water 2416 0
8242 "Не указан" 100.0 3 24 Beerbeer 7386 0
8243 м 22.0 87464787 18 Water 3661 0
8244 "Не указан" 69.0 2 11 Fanta 647 0
8245 - 79.0 2 14 Cola 7972 0
8246 "Не указан"  3 35 Cola 56 1
8247 - 5.0 0 18 Water 2734 1
8248 - 72.0 4 52 Cola 8026 0
8249 M 66.0 3 54 "Strong beer" 900 0
8250 M 41.0 5 47 Water 6498 1
8251 м 94.0 5 70 Beerbeer 3891 0
8252 Ж 21.0 73680808 59 Fanta 9333 1
8253 - 12.0 0 61 Bugbeer 4640 1
8254 M 85.0 4 43 "Strong beer" 3588 1
8255 ж 78.0 4 58 Fanta 8880 1
8256 - 4.0 0 33 Beerbeer 6012 1
8257 Ж 81.0 0 74 Beerbeer 130 1
8258 м 80.0 0 22 Beerbeer 9607 1
8259 м 65.0 2 22 Fanta 2319 0
8260 - 89.0 5 39 Cola 5625 1
8261 Ж 43.0 0 10 Cola 1416 0
8262 - 98.0 4 72 Beerbeer 6295 1
8263 ж  3 44 Cola 8654 1
8264 M 86.0 2 43 Fanta 81 1
8265 "Не указан" 44.0 2 80 Bugbeer 6513 0
8266 "Не указан" 37.0 1 46 Cola 1115 0
8267 "Не указан" 70.0 46580107 20 Water 8555 0
8268 м 20.0 1 26 Bugbeer 6031 1
8269 Ж 60.0 1 27 "Strong beer" 7958 1
8270 м 27.0 4 26 Cola 7511 1
8271 "Не указан" 63.0 5 55 Cola 7143 0
8272 Ж 65.0 1 33 Bugbeer 7608 0
8273 м 87.0 4 70 Cola 7342 0
8274 - 42.0 1 34 Cola 467 0
8275 Ж 72.0 3 55 Cola 5457 0
8276 ж 26.0 5 33 "Strong beer" 4755 1
8277 Ж 2.0 1 17 Cola 6804 0
8278 м 55.0 1 44 Fanta 8036 1
8279 - 26.0 2 51 Beerbeer 6110 0
8280 м 83.0 1 76 Bugbeer 4562 1
8281 ж 6.0 4 67 Fanta 4037 1
8282 M 8.0 1 53 Beerbeer 5998 1
8283 м 55.0 2 62 Water 5377 1
8284 - 99.0 0 18 Fanta 390 0
8285 м 82.0 2 27 "Strong beer" 7943 1
8286 Ж 68.0 2 66 Fanta 716 0
8287 - 22.0 57749208 78 Bugbeer 9341 1
8288 ж 87.0 26341626 75 Cola 319 0
8289 ж 86.0 5 76 "Strong beer" 5383 1
8290 "Не указан" 4.0 2 67 Cola 1872 0
8291 ж 72.0 0 53 Fanta 2125 0
8292 "Не указан" 48.0 0 36 Bugbeer 1143 1
8293 ж 96.0 0 36 Fanta 1616 0
8294 M 16.0 3 65 Fanta 3203 0
8295 м 31.0 1 12 Cola 3035 1
8296 м 1.0 4 22 Cola 8812 1
8297 Ж 89.0 4 75 Bugbeer 7900 1
8298 M  2 14 Water 6640 0
8299 "Не указан" 87.0 2 18 Fanta 3664 0
8300 - 21.0 5 42 Fanta 9094 1
8301 M 74.0 4 34 "Strong beer" 5162 1
8302 Ж 28.0 1 78 Cola 3801 1
8303 Ж  -4 38 "Strong beer" 7255 1
8304 -  1 61 Cola 1278 0
8305 "Не указан" 35.0 4 50 Cola 4349 0
8306 "Не указан" 90.0 0 34 Bugbeer 3508 1
8307 - 60.0 3 78 Cola 7770 1
8308 M 30.0 -1 48 Beerbeer 5831 1
8309 ж 21.0 5 60 Bugbeer 8462 1
8310 - 34.0 2 10 Fanta 4661 1
8311 м  5 34 "Strong beer" 4186 1
8312 "Не указан" 61.0 3 13 Water 7492 1
8313 M 88.0 0 13 Cola 1547 1
8314 м 85.0 2 16 Fanta 8592 1
8315 - 89.0 1 74 Fanta 2942 1
8316 м 63.0 0 48 "Strong beer" 2827 1
8317 - 65.0 4 29 Water 6887 0
8318 м 24.0 0 18 Cola 9616 1
8319 - 55.0 5 13 Water 8981 1
8320 "Не указан" 11.0 4 73 "Strong beer" 9762 1
8321 - 95.0 1 19 Water 3014 0
8322 M 16.0 0 12 Fanta 847 0
8323 ж 85.0 1 29 Beerbeer 8975 1
8324 Ж 21.0 0 42 Water 3813 1
8325 ж  0 69 Beerbeer 8083 0
8326 - 75.0 0 54 Beerbeer 2242 1
8327 "Не указан" 65.0 1 77 Bugbeer 3312 0
8328 ж 15.0 2 59 Water 1183 1
8329 - 87.0 1 31 Cola 4480 0
8330 "Не указан" 48.0 2 34 Beerbeer 8291 1
8331 "Не указан" 39.0 3 78 Beerbeer 2256 0
8332 M 81.0 3 54 Bugbeer 1421 1
8333 M 20.0 5 42 Fanta 9474 1
8334 M 13.0 2 10 Fanta 2817 0
8335 "Не указан" 55.0 84569862 17 Cola 4055 1
8336 ж 13.0 3 36 Beerbeer 8720 1
8337 M 62.0 5 71 Bugbeer 8746 0
8338 M 61.0 2 68 Beerbeer 3735 0
8339 - 79.0 5 12 Fanta 9453 1
8340 - 86.0 2 36 "Strong beer" 8783 1
8341 M 68.0 2 31 Cola 6967 1
8342 "Не указан" 5.0 1 59 Water 3032 1
8343 ж 53.0 1 25 Beerbeer 5076 1
8344 "Не указан" 50.0 0 41 "Strong beer" 4161 0
8345 м 14.0 0 49 "Strong beer" 1673 1
8346 - 22.0 -1 43 "Strong beer" 7049 0
8347 м 36.0 5 37 Cola 9362 1
8348 M 8.0 3 46 Beerbeer 8456 1
8349 M 100.0 4 19 Cola 7112 1
8350 Ж 56.0 5 62 Bugbeer 6052 0
8351 Ж 60.0 0 69 "Strong beer" 6709 1
8352 Ж 20.0 0 48 Cola 4742 0
8353 "Не указан" 80.0 2 65 Bugbeer 5578 1
8354 Ж 1.0 1 44 Cola 2658 0
8355 ж 67.0 2 45 Fanta 7423 0
8356 м 24.0 5 17 Fanta 6605 1
8357 м 0.0 4 52 Water 8016 0
8358 M 11.0 3 24 Cola 4664 1
8359 м 64.0 2 43 Cola 2183 0
8360 м 51.0 4 40 Water 6107 1
8361 M 75.0 0 32 Bugbeer 3183 0
8362 M 88.0 1 31 Bugbeer 6779 0
8363 ж 60.0 3 24 Bugbeer 1954 0
8364 M 62.0 4 43 Bugbeer 8398 1
8365 ж 95.0 4 11 Cola 9938 1
8366 ж 38.0 1 69 Beerbeer 114 0
8367 "Не указан" 15.0 2 41 "Strong beer" 61 1
8368 - 80.0 2 67 Beerbeer 9494 1
8369 "Не указан" 65.0 2 47 Cola 6912 1
8370 Ж 53.0 5 37 Bugbeer 1689 1
8371 M 92.0 1 65 Water 4092 0
8372 ж 54.0 2 27 Fanta 5434 1
8373 M 61.0 -4 60 Cola 9598 1
8374 - 77.0 5 43 Water 596 0
8375 Ж 56.0 0 43 "Strong beer" 4052 1
8376 м 80.0 2 39 Bugbeer 3407 0
8377 м 55.0 4 30 Beerbeer 2498 1
8378 - 89.0 165469 23 "Strong beer" 4811 0
8379 "Не указан" 36.0 0 31 Cola 1258 1
8380 Ж 5.0 5 41 Cola 6019 0
8381 ж 10.0 0 76 Fanta 6186 0
8382 Ж 9.0 -6 61 Water 9976 0
8383 M 39.0 1 55 "Strong beer" 4946 0
8384 M 56.0 4 15 Fanta 5736 1
8385 м 85.0 67771002 76 Cola 2254 1
8386 - 58.0 3 22 Cola 3230 0
8387 M 96.0 86509545 55 Beerbeer 7096 1
8388 M  2 70 Beerbeer 4127 1
8389 "Не указан" 62.0 1 44 Bugbeer 4653 1
8390 M 47.0 2 33 Fanta 5100 1
8391 "Не указан" 21.0 -2 14 Cola 3173 0
8392 ж 83.0 2 25 Bugbeer 6951 0
8393 Ж 0.0 2 44 Water 837 1
8394 Ж 91.0 4 66 Cola 8571 0
8395 M  2 21 Beerbeer 711 0
8396 ж 81.0 3 66 Fanta 171 0
8397 ж 80.0 0 65 "Strong beer" 3585 0
8398 Ж 32.0 3 73 Fanta 3261 1
8399 ж 87.0 0 40 Water 3717 0
8400 - 94.0 -6 74 Water 5930 0
8401 - 44.0 1 66 Cola 100 1
8402 Ж 60.0 -5 25 Beerbeer 2574 1
8403 Ж 52.0 4 38 "Strong beer" 6267 1
8404 M  2 71 Water 9389 1
8405 м 67.0 0 34 Cola 6695 1
8406 м 77.0 3 37 Cola 538 1
8407 M 50.0 4 47 Cola 1180 0
8408 ж 34.0 5 20 Fanta 9920 1
8409 M 38.0 3 31 Fanta 6114 1
8410 Ж  5 35 Cola 3632 0
8411 ж 98.0 3 31 Fanta 5890 1
8412 M 82.0 5 59 Fanta 2392 0
8413 M 55.0 4 47 Water 1426 1
8414 ж 8.0 1 64 "Strong beer" 8747 1
8415 "Не указан" 24.0 3 27 Fanta 7587 1
8416 "Не указан" 97.0 1 62 Beerbeer 1856 0
8417 ж 36.0 3 39 Fanta 564 0
8418 м 48.0 1 49 Fanta 1731 0
8419 ж  7733366 22 Beerbeer 1217 1
8420 - 89.0 2 17 Fanta 1769 0
8421 "Не указан" 29.0 0 21 Fanta 4848 0
8422 - 97.0 0 73 Water 8443 0
8423 ж 64.0 0 76 Beerbeer 7886 0
8424 ж 98.0 88868843 48 Water 4540 0
8425 Ж 47.0 5 18 Fanta 792 0
8426 M 29.0 5 55 Beerbeer 510 0
8427 "Не указан" 52.0 5 33 Beerbeer 3396 1
8428 м 39.0 -2 51 Bugbeer 3044 0
8429 M 17.0 3 54 Cola 1218 0
8430 Ж 53.0 2 43 Bugbeer 6289 1
8431 M 32.0 2 22 Fanta 2139 1
8432 M 79.0 2 66 Water 7586 1
8433 - 65.0 4 15 Cola 3654 1
8434 "Не указан" 100.0 4 23 Cola 5905 0
8435 M 55.0 3 19 Cola 6795 1
8436 -  5 41 "Strong beer" 6855 1
8437 "Не указан" 1.0 4 44 Bugbeer 1716 1
8438 - 5.0 2 28 Cola 5024 1
8439 - 46.0 1 68 Cola 7013 1
8440 ж 20.0 0 26 Beerbeer 986 1
8441 ж 0.0 5 60 Water 2079 1
8442 M 80.0 -5 13 Fanta 1835 0
8443 м 58.0 3 14 Fanta 7570 1
8444 Ж 71.0 5 61 Water 8781 0
8445 Ж 34.0 32954667 21 Fanta 1091 1
8446 м 75.0 5 37 Water 2971 1
8447 M 3.0 0 17 Cola 6120 1
8448 "Не указан" 10.0 1 11 Water 9956 1
8449 Ж 24.0 3 68 Beerbeer 4377 0
8450 Ж 68.0 5 43 "Strong beer" 6813 1
8451 ж 22.0 4 66 Beerbeer 5926 1
8452 - 68.0 5 60 Water 9338 1
8453 ж 34.0 0 39 Fanta 2975 0
8454 - 91.0 1 25 Beerbeer 3578 0
8455 м 67.0 2 61 Fanta 630 0
8456 Ж 90.0 1 24 Bugbeer 684 1
8457 Ж 9.0 2 49 Beerbeer 726 1
8458 M 62.0 1 46 Bugbeer 6655 0
8459 M 73.0 4 42 Water 2737 1
8460 ж 56.0 3 24 Water 8751 0
8461 - 42.0 3 54 "Strong beer" 6686 0
8462 "Не указан" 31.0 3 24 "Strong beer" 3429 0
8463 "Не указан" 79.0 4 14 Water 6995 1
8464 м 17.0 2 16 Fanta 2676 1
8465 - 73.0 2 68 Bugbeer 1127 0
8466 M 81.0 5 15 Fanta 6652 1
8467 ж 93.0 2 26 Fanta 7816 1
8468 ж 84.0 5 10 Water 3132 1
8469 ж 91.0 4 15 Cola 8453 1
8470 M 95.0 0 68 Water 3596 1
8471 ж 48.0 4 51 Beerbeer 9345 1
8472 - 67.0 5 47 "Strong beer" 4404 1
8473 ж 46.0 0 38 Beerbeer 134 0
8474 Ж 44.0 5 53 Water 9189 1
8475 ж 75.0 0 38 Beerbeer 8643 1
8476 ж 15.0 2 30 Fanta 9585 0
8477 - 98.0 2 72 "Strong beer" 7396 1
8478 M 47.0 3 64 Beerbeer 5112 1
8479 Ж 14.0 2 21 Water 8295 1
8480 M 95.0 0 78 Fanta 439 0
8481 M 56.0 5 35 Bugbeer 386 1
8482 м 41.0 1 18 Fanta 3207 1
8483 M 27.0 2 48 Bugbeer 2354 1
8484 м 5.0 0 12 Water 5328 1
8485 M 47.0 -6 53 Bugbeer 2462 0
8486 "Не указан" 60.0 1 24 Cola 9001 0
8487 м 30.0 4 53 Beerbeer 5832 1
8488 M 44.0 3 63 Water 2126 0
8489 M 22.0 4 38 Fanta 447 1
8490 Ж 10.0 5 57 Beerbeer 5474 0
8491 M 16.0 0 56 Bugbeer 619 0
8492 M 33.0 0 66 Fanta 1506 0
8493 Ж 26.0 5 15 Fanta 172 1
8494 "Не указан" 40.0 1 19 Fanta 5199 1
8495 Ж 43.0 4 27 "Strong beer" 9899 1
8496 M  0 58 Cola 9470 1
8497 M 82.0 5 51 Bugbeer 6028 1
8498 - 46.0 1 74 Beerbeer 9942 1
8499 Ж 5.0 0 46 Beerbeer 7023 0
8500 ж 5.0 1 37 Water 2150 0
8501 M  4 74 Cola 9057 1
8502 - 71.0 3 41 Water 396 1
8503 ж  3 76 "Strong beer" 1223 1
8504 "Не указан" 10.0 1 19 Water 9733 1
8505 м 78.0 70827491 42 "Strong beer" 4955 0
8506 ж 35.0 2 11 Cola 3655 0
8507 ж 77.0 4 12 Water 4606 1
8508 Ж 63.0 9100561 11 Fanta 5216 1
8509 "Не указан" 70.0 1 12 Fanta 8256 0
8510 - 67.0 3 66 "Strong beer" 6704 0
8511 M 99.0 1 45 Fanta 2810 1
8512 "Не указан" 21.0 0 62 "Strong beer" 2321 1
8513 M 75.0 2 66 Fanta 8593 1
8514 "Не указан" 86.0 4 29 Water 2700 1
8515 M 35.0 1 20 Cola 6184 1
8516 "Не указан" 14.0 4 28 Water 4240 1
8517 Ж  0 24 Fanta 4483 1
8518 м 43.0 1 23 Water 8652 0
8519 Ж 64.0 5 20 Fanta 8374 1
8520 M 68.0 2 15 Cola 9434 1
8521 м 91.0 -6 40 "Strong beer" 1197 0
8522 "Не указан" 49.0 -6 73 Fanta 3750 1
8523 м 58.0 2 26 Fanta 1940 1
8524 Ж 67.0 0 49 Beerbeer 3164 0
8525 "Не указан" 56.0 5 70 Beerbeer 9374 0
8526 Ж 71.0 4 35 Cola 729 1
8527 "Не указан" 81.0 78520481 61 Beerbeer 4720 0
8528 м 99.0 5 74 Bugbeer 2818 0
8529 M 92.0 -4 17 Fanta 9272 0
8530 "Не указан" 19.0 1 18 Water 6496 0
8531 ж 41.0 0 78 Water 3448 1
8532 "Не указан" 79.0 4 36 Beerbeer 3564 1
8533 ж 18.0 2 22 Beerbeer 4353 1
8534 м 64.0 0 70 Cola 4759 0
8535 м  1 79 "Strong beer" 9864 1
8536 ж 75.0 0 17 Fanta 8385 1
8537 ж 61.0 0 78 Beerbeer 8059 0
8538 Ж 28.0 4 21 "Strong beer" 1665 1
8539 Ж 67.0 3 69 "Strong beer" 3592 1
8540 "Не указан" 37.0 0 34 Beerbeer 2248 1
8541 "Не указан" 74.0 2 35 "Strong beer" 3864 1
8542 м 85.0 2 21 Fanta 9361 1
8543 ж 77.0 0 44 Water 3816 1
8544 Ж 34.0 5 72 "Strong beer" 5014 1
8545 M 55.0 4 60 Cola 1261 1
8546 M 40.0 3 80 Beerbeer 3626 1
8547 м 92.0 1 15 Water 5150 0
8548 M 88.0 3 49 Beerbeer 3047 1
8549 Ж 45.0 5 34 Cola 1335 1
8550 M  3 28 Bugbeer 550 0
8551 M 10.0 5 41 Cola 4014 1
8552 ж 10.0 5 34 Cola 9951 1
8553 "Не указан" 1.0 2 46 "Strong beer" 2950 0
8554 M 86.0 4310952 24 Bugbeer 2074 1
8555 - 28.0 0 38 Fanta 5670 1
8556 Ж  1 50 Beerbeer 4760 1
8557 "Не указан" 2.0 3 74 "Strong beer" 936 0
8558 - 51.0 1 62 Cola 2094 1
8559 "Не указан" 7.0 1 39 Water 3049 1
8560 м 21.0 63500985 60 Water 442 0
8561 ж 83.0 3 35 Fanta 7695 0
8562 M 72.0 5 29 "Strong beer" 7174 1
8563 м 88.0 0 78 Fanta 5485 0
8564 - 59.0 3 46 "Strong beer" 2399 1
8565 м 64.0 -3 27 Cola 2898 1
8566 ж 62.0 4 66 Water 7197 0
8567 - 24.0 5 10 Cola 4439 1
8568 ж  2 15 Cola 687 0
8569 ж 92.0 2 67 Cola 8068 1
8570 ж 20.0 0 58 "Strong beer" 8201 0
8571 ж 84.0 2 30 Bugbeer 9655 0
8572 ж 77.0 4 56 Water 6701 1
8573 ж 35.0 5 46 Bugbeer 3002 1
8574 M 39.0 1 37 Water 89 1
8575 м 62.0 4 40 Water 3659 0
8576 м 21.0 1 62 Beerbeer 2168 1
8577 M 29.0 5 59 Cola 5027 1
8578 ж 100.0 80127376 11 Cola 2377 0
8579 Ж 81.0 2 17 Fanta 8087 1
8580 - 4.0 3 20 Water 4507 1
8581 - 41.0 0 11 Fanta 9748 0
8582 Ж 87.0 2 16 Water 1784 0
8583 ж 48.0 3 49 Beerbeer 7568 0
8584 ж 61.0 1 55 Cola 4796 0
8585 Ж 36.0 3 65 Beerbeer 6948 0
8586 м 95.0 1 25 Fanta 1656 0
8587 "Не указан" 49.0 5 35 Bugbeer 3995 1
8588 "Не указан"  0 74 Bugbeer 6560 1
8589 м 86.0 1 27 Water 4449 1
8590 M 22.0 5 59 "Strong beer" 4160 1
8591 ж 100.0 2 51 "Strong beer" 7392 1
8592 M 25.0 3 68 Cola 1786 0
8593 "Не указан" 6.0 2 36 Cola 8515 1
8594 м 63.0 1 16 Cola 570 1
8595 M 13.0 2 59 Water 8653 1
8596 м 30.0 3 69 Water 7097 0
8597 "Не указан" 24.0 5 14 Cola 7592 1
8598 - 66.0 72611159 35 "Strong beer" 4304 1
8599 - 73.0 5 49 Fanta 7334 1
8600 - 40.0 5 20 Cola 3436 0
8601 M 44.0 4 38 "Strong beer" 7585 1
8602 "Не указан" 52.0 3 41 Beerbeer 7633 1
8603 Ж 75.0 1 36 Fanta 9045 1
8604 ж 84.0 89387165 77 Water 24 1
8605 - 53.0 1 15 Fanta 4989 0
8606 - 10.0 5 45 Water 8424 1
8607 "Не указан" 67.0 3 44 "Strong beer" 5001 0
8608 "Не указан"  3 41 Beerbeer 8892 1
8609 Ж 61.0 5 58 Bugbeer 6593 0
8610 ж 0.0 2 36 "Strong beer" 4899 1
8611 "Не указан" 44.0 0 48 Cola 1501 1
8612 M 71.0 2 73 Beerbeer 1182 1
8613 м 92.0 2 36 Water 8850 1
8614 ж 61.0 1 70 Bugbeer 7605 0
8615 "Не указан" 26.0 0 23 Cola 4281 1
8616 м 77.0 0 36 "Strong beer" 6284 1
8617 ж 53.0 3 18 Fanta 3943 1
8618 м 19.0 -2 16 Water 1224 1
8619 ж 12.0 1 65 Bugbeer 489 1
8620 - 28.0 5 42 Beerbeer 4845 1
8621 "Не указан" 7.0 0 32 Bugbeer 7856 0
8622 м 6.0 5 46 Water 7754 1
8623 "Не указан" 25.0 3 61 Cola 9521 0
8624 M 74.0 3 79 Water 9279 1
8625 ж 71.0 0 28 Beerbeer 8311 0
8626 - 57.0 3 50 Beerbeer 791 0
8627 M 40.0 2 64 Fanta 9000 1
8628 ж 22.0 2 64 "Strong beer" 6621 1
8629 M 8.0 2 57 "Strong beer" 2911 1
8630 ж  4 46 Bugbeer 3155 1
8631 - 6.0 4 73 Bugbeer 7135 0
8632 "Не указан" 12.0 3 13 Cola 9479 0
8633 м 100.0 2 11 Cola 407 0
8634 "Не указан" 49.0 3 23 Beerbeer 820 1
8635 ж 74.0 4 38 Cola 540 1
8636 ж 100.0 0 44 Fanta 1691 1
8637 м 24.0 5 63 Cola 5084 1
8638 м 49.0 4 59 Cola 3648 0
8639 "Не указан" 67.0 1 10 Fanta 5410 1
8640 Ж 14.0 -1 27 Cola 9877 1
8641 ж 61.0 1 67 Beerbeer 4072 1
8642 Ж 93.0 0 33 "Strong beer" 609 1
8643 M 62.0 2 76 Fanta 2643 0
8644 м 79.0 3 25 Cola 9193 0
8645 M 19.0 4 42 Fanta 3804 1
8646 - 41.0 3 37 Beerbeer 9319 1
8647 м 22.0 26690544 64 Bugbeer 331 1
8648 M 36.0 2 73 Cola 7701 1
8649 Ж  2 46 Fanta 8323 1
8650 м 50.0 3 58 Bugbeer 9771 1
8651 "Не указан" 85.0 5 74 "Strong beer" 4884 0
8652 ж 3.0 5 58 "Strong beer" 1615 0
8653 м 75.0 0 58 Cola 5773 0
8654 M 56.0 3 33 Cola 4876 0
8655 - 23.0 3 79 Cola 6173 0
8656 M 70.0 4 62 Beerbeer 2343 0
8657 ж 20.0 2 67 Beerbeer 2044 1
8658 M 34.0 1 35 Water 3057 1
8659 "Не указан" 10.0 1 76 Bugbeer 7235 1
8660 Ж 64.0 5 34 Bugbeer 367 1
8661 ж 49.0 0 65 Cola 8084 1
8662 "Не указан" 25.0 3 13 Cola 1327 0
8663 M 19.0 5 74 "Strong beer" 4162 1
8664 ж 64.0 2 79 Bugbeer 8246 0
8665 ж 79.0 5 55 Fanta 1539 1
8666 M 97.0 4 16 Fanta 5682 1
8667 м 33.0 2 39 Water 6789 1
8668 "Не указан" 72.0 -1 67 Water 8035 0
8669 м 30.0 3 69 Beerbeer 7017 0
8670 M  4 45 Cola 1587 1
8671 м 44.0 2 39 Water 2949 0
8672 "Не указан" 36.0 5 28 "Strong beer" 1093 1
8673 ж 54.0 2 73 "Strong beer" 7272 0
8674 M 87.0 1 32 Bugbeer 3292 1
8675 ж 48.0 3 26 Cola 6237 0
8676 ж 58.0 5 38 Bugbeer 6650 1
8677 м 57.0 4 37 Bugbeer 7790 1
8678 M 44.0 2 16 Fanta 1221 1
8679 ж 92.0 4 80 Cola 4693 0
8680 м 100.0 2 19 Cola 3001 0
8681 Ж 46.0 5 17 Cola 2292 1
8682 M 69.0 0 79 Beerbeer 1094 0
8683 M 100.0 5 19 Water 6873 1
8684 M 69.0 1 27 Beerbeer 8000 1
8685 ж 51.0 0 77 Fanta 1497 1
8686 ж 61.0 2 33 Beerbeer 4437 1
8687 ж 42.0 0 62 "Strong beer" 3978 0
8688 Ж 88.0 2 43 "Strong beer" 9945 1
8689 M  4 53 Cola 4204 1
8690 "Не указан" 42.0 2 52 "Strong beer" 733 0
8691 M 100.0 5 55 Fanta 5596 1
8692 ж 58.0 2 43 "Strong beer" 2160 1
8693 M 60.0 2 18 Water 5715 0
8694 "Не указан" 0.0 0 68 Fanta 5101 1
8695 M 17.0 2 56 Cola 7250 0
8696 м 34.0 -5 44 Cola 6945 1
